lambda,Cabs,Csca
250,5.92E-15,2.51E-16
255,5.93E-15,2.52E-16
260,5.89E-15,2.55E-16
265,5.81E-15,2.38E-16
270,5.70E-15,2.28E-16
275,5.56E-15,2.11E-16
280,5.42E-15,2.00E-16
285,5.29E-15,2.11E-16
290,5.18E-15,1.85E-16
295,5.06E-15,1.68E-16
300,4.92E-15,1.71E-16
305,4.83E-15,1.48E-16
310,4.75E-15,1.39E-16
315,4.66E-15,1.35E-16
320,4.57E-15,1.32E-16
325,4.56E-15,1.23E-16
330,4.55E-15,1.25E-16
335,4.51E-15,1.01E-16
340,4.43E-15,8.86E-17
345,4.35E-15,9.90E-17
350,4.26E-15,9.86E-17
355,4.17E-15,8.41E-17
360,4.11E-15,8.70E-17
365,4.06E-15,7.78E-17
370,4.01E-15,6.96E-17
375,3.95E-15,7.17E-17
380,3.89E-15,7.14E-17
385,3.82E-15,6.88E-17
390,3.75E-15,7.09E-17
395,3.68E-15,5.99E-17
400,3.61E-15,6.27E-17
405,3.57E-15,5.15E-17
410,3.52E-15,5.61E-17
415,3.47E-15,5.26E-17
420,3.42E-15,5.29E-17
425,3.38E-15,4.86E-17
430,3.34E-15,4.38E-17
435,3.33E-15,4.31E-17
440,3.33E-15,3.96E-17
445,3.33E-15,4.41E-17
450,3.33E-15,3.71E-17
455,3.33E-15,3.80E-17
460,3.34E-15,3.93E-17
465,3.36E-15,3.45E-17
470,3.37E-15,3.18E-17
475,3.45E-15,3.32E-17
480,3.56E-15,3.46E-17
485,3.68E-15,2.84E-17
490,3.82E-15,3.57E-17
495,3.96E-15,3.13E-17
500,4.11E-15,3.77E-17
505,4.21E-15,3.77E-17
510,4.24E-15,4.26E-17
515,4.19E-15,4.55E-17
520,4.00E-15,5.47E-17
525,3.60E-15,4.99E-17
530,3.15E-15,4.62E-17
535,2.73E-15,4.92E-17
540,2.32E-15,3.84E-17
545,1.96E-15,3.46E-17
550,1.65E-15,3.39E-17
555,1.41E-15,3.97E-17
560,1.21E-15,3.34E-17
565,1.04E-15,2.46E-17
570,8.83E-16,2.70E-17
575,7.51E-16,3.03E-17
580,6.38E-16,2.63E-17
585,5.51E-16,2.15E-17
590,4.82E-16,1.55E-17
595,4.22E-16,1.41E-17
600,3.71E-16,1.55E-17
605,3.25E-16,1.18E-17
610,2.84E-16,1.33E-17
615,2.50E-16,1.74E-17
620,2.22E-16,1.27E-17
625,2.00E-16,1.70E-17
630,1.79E-16,1.40E-17
635,1.61E-16,1.55E-17
640,1.45E-16,9.58E-18
645,1.30E-16,6.93E-18
650,1.16E-16,1.18E-17
655,1.04E-16,1.45E-18
660,9.33E-17,8.21E-18
665,8.80E-17,7.84E-18
670,8.30E-17,6.78E-18
675,7.83E-17,1.29E-17
680,7.39E-17,6.18E-18
685,6.99E-17,7.56E-18
690,6.62E-17,8.71E-18
695,6.26E-17,5.46E-18
700,5.94E-17,7.49E-18
705,5.64E-17,7.55E-18
710,5.45E-17,6.40E-18
715,5.27E-17,9.57E-18
720,5.10E-17,6.48E-18
725,4.93E-17,6.95E-18
730,4.78E-17,4.98E-18
735,4.62E-17,6.18E-18
740,4.48E-17,4.14E-18
745,4.35E-17,5.90E-18
750,4.22E-17,6.00E-18
755,4.10E-17,3.17E-18
760,3.99E-17,9.32E-19
765,3.89E-17,2.09E-18
770,3.80E-17,5.22E-18
775,3.71E-17,2.72E-18
780,3.63E-17,6.27E-18
785,3.55E-17,3.55E-18
790,3.47E-17,3.78E-18
795,3.39E-17,2.88E-18
800,3.32E-17,-1.05E-18
805,3.25E-17,3.59E-18
810,3.18E-17,6.49E-18
815,3.11E-17,7.10E-19
820,3.05E-17,4.42E-18
825,2.98E-17,5.57E-18
830,2.90E-17,6.73E-18
835,2.84E-17,1.50E-18
840,2.76E-17,9.22E-19
845,2.70E-17,4.24E-18
850,2.64E-17,1.80E-18
855,2.57E-17,2.45E-18
860,2.52E-17,-1.22E-19
865,2.46E-17,4.75E-18
870,2.41E-17,2.40E-18
875,2.35E-17,-8.23E-21
880,2.30E-17,3.73E-18
885,2.25E-17,2.74E-18
890,2.21E-17,1.99E-18
895,2.18E-17,2.06E-18
900,2.16E-17,-1.90E-18
905,2.14E-17,4.18E-19
910,2.12E-17,1.38E-18
915,2.11E-17,-1.37E-18
920,2.09E-17,-2.39E-18
925,2.07E-17,3.47E-18
930,2.06E-17,2.83E-18
935,2.04E-17,2.05E-18
940,2.03E-17,2.09E-18
945,2.01E-17,4.13E-19
950,1.99E-17,6.98E-18
955,1.98E-17,1.66E-18
960,1.96E-17,1.21E-18
965,1.95E-17,1.64E-18
970,1.93E-17,-8.81E-19
975,1.92E-17,8.12E-19
980,1.90E-17,4.15E-18
985,1.89E-17,5.78E-19
990,1.87E-17,5.74E-19
995,1.85E-17,2.94E-18
1000,1.83E-17,1.03E-19
